playerID,TS%,USG%,AST%,TOV%,BPM,VORP
6,0.61,23.9,15.8,10.9,1.2,2.1
2,0.581,27,33.5,14.9,4.2,4
4,0.542,16,23.9,14,1.3,2.1
8,0.592,19.5,13.9,11.8,0.7,1.6
3,0.56,26.9,21.3,10.1,0.9,0.9
9,0.539,12.4,7.4,9.4,-1.3,0.2
13,0.591,19.6,11.6,9.3,-2.3,-0.1
7,0.624,17.1,7.2,11.2,-1.5,0.1
14,0.596,17.7,12.4,7.4,0.1,0.2
1,0.576,22.5,13.1,11,0.1,0.2
10,0.538,19.9,"10.6	",12.5,-0.9,0.4
12,0.508,23.5,20.9,13.9,-2.6,-0.1
5,0.524,14.1,5.9,8.9,-2,0
11,0.536,18.2,9,10.6,-5.6,-0.8
20,0.633,22.3,16.6,12,2.8,3.1
25,0.574,28.1,17.8,12.5,1.6,1.8
24,0.653,11.4,10.2,14.2,1.7,1.8
19,0.531,11,11.4,13.5,-2,0
23,0.762,11.6,5.2,15.3,1.8,1.4
17,0.609,14.1,10.6,13,1.6,0.7
27,0.629,14.9,6.6,12.8,-0.8,0.2
18,0.611,32.1,26.8,13,2.9,0.5
28,0.588,14.4,8.7,10.4,-1.3,0.1
26,0.388,11.6,14.5,15.2,-2.8,0
22,".565	",22.1,12.4,12,0.9,1.5
15,0.596,14.3,12.8,13.8,0.7,1.5
16,0.452,10.7,7.1,13.9,-4.3,-0.4
21,0.568,23.8,19.9,10.1,2.1,1.5
36,0.551,25,14.1,8.3,2,2.4
37,0.586,19.7,12.3,10.3,1.2,1.7
30,0.582,13.6,29.1,16.1,-0.9,0.6
33,0.605,16.8,16.8,13.3,-1.2,0.4
29,0.579,19.6,11.6,8.7,0.5,0.7
35,0.532,15.2,20,12.9,2.2,1.2
31,0.48,21.4,16.5,15.4,-3.5,-0.3
40,0.606,15,14,11.2,0.9,0.3
39,0.582,18.9,3.9,10,-1.3,0.1
34,0.624,18.5,6.9,4.7,-0.7,0.7
38,0.587,23.1,10.5,7.8,0,0
32,".658	",37,38.7,13.2,9.5,3
44,0.607,23.3,19.3,10.8,1.4,2.3
46,0.566,27.6,23.4,13.6,1.4,2.1
52,0.617,15.6,9.5,11.8,-0.6,0.8
41,0.549,22.2,18.5,13.1,-0.6,0.7
51,0.576,16.2,9.3,9.4,-0.6,0.7
45,0.561,22.9,29.6,17.8,2.5,1.8
50,0.588,27,18.2,8.9,2.5,1.2
53,0.7,13.5,12.5,13.8,2.8,1.2
43,0.517,16,15.5,10.7,-1.1,0.1
49,0.574,16.8,14.2,10.7,-2.5,-0.1
42,0.498,12.4,5.6,11.8,-1.6,0.1
47,0.624,16.6,8.6,9.9,-1.4,0.1
48,0.526,21,13.6,9.8,0.2,0.2
60,0.556,18,23,19.5,-4.7,-1.6
67,0.548,20.2,12.7,11.9,-4.5,-1
54,0.531,19.9,13.9,11.6,-2.1,-0.1
62,0.535,22.5,12.4,11.9,-5,-1.1
63,0.559,22.8,22.4,16.5,-1.2,0.3
61,0.589,16.7,8.7,8.2,-0.4,0.6
65,0.544,25.7,15.9,10.2,0.7,0.9
58,0.554,15.1,8.8,10.8,-3.3,-0.3
64,0.531,19.6,18.9,14.7,-4,-0.4
55,0.603,26.6,12.8,14.5,0,0.3
56,0.723,26.3,47.5,19.8,5.6,0.2
57,0.6,33.9,22.1,12.7,11.7,0
59,0.676,16.7,4.5,11.1,-0.9,0.6
66,".551	",27.5,15.1,10,2.4,0.7
