Player,jerseyNum,Pos,Height,Weight,Age,Team_ID
Jonathan Kuminga,0,F,6'7,225,23,1
Jalen Johnson,1,F,6'9,219,24,1
CJ McCollum,3,G,6'3,190,34,1
Dyson Daniels,5,G,6'7,199,23,1
Luguentz Dort,5,G,6'4,220,27,1
Nickeil Alexander-Walker,7,G,6'5,205,27,1
Asa Newell,14,F,6'10,220,20,1
Onyeka Okongwu,17,C,6'8,240,25,1
Mouhamed Gueye,18,F,6'11,210,23,1
Aaron Wiggins,21,G,6'5,190,27,1
Jalen Wilson,22,F,6'6,220,25,1
Devin Carter,22,G,6'2,195,24,1
Corey Kispert,24,F,6'6,224,27,1
Jock Landale,31,C,6'11,255,30,1
Royce O'Neale,0,F,6'6,226,33,2
Dorian Finney-Smith,2,F,6'7,220,33,2
Grant Williams,1,F,6'7,236,27,2
Coby White,3,G,6'4,210,26,2
Sion James,4,G,6'5,220,23,2
Kon Knueppel,7,G,6'6,215,20,2
Grayson Allen,8,G,6'3,198,30,2
Naz Reid,11,F,6'9,264,26,2
Ryan Kalkbrenner,11,C,7'1,256,24,2
Moussa Diabate,14,F,6'10,210,24,2
Brandon Miller,24,F,6'7,200,23,2
Xavier Tillman,26,F,6'8,245,27,2
Tidjane Salaün,31,F ,6'10,207,20,2
Liam McNeeley,33,F,6'7,210,20,2
Simone Fontecchio,0,F,6'7,209,30,3
Davion Mitchell,2,G,6'0,202,27,3
Nikola Jovic,5,F,6'10,205,23,3
Giannis Antetokounmpo,7,F,6'11,243,31,3
Pelle Larsson,9,G,6'5,215,25,3
Tim Hardaway Jr.,10,G,6'5,205,23,3
Dru Smith,12,G,6'2,203,28,3
Bam Adebayo,13,F,6'9,255,29,3
Andrew Wiggins,22,F,6'6,197,31,3
Bobby Portis Jr.,95,F,6'9,250,31,3
Keshad Johnson,16,F ,6'6,225,25,3
Myron Gardner,15,F,6'5,220,25,3
Anthony Black,0,G,6'7,200,22,4
Jonathan Issac,1,F,6'10,230,28,4
Jevon Carter,2,G,6'0,190,30,4
Desmond Bane,3,G,6'6,215,28,4
Jalen Suggs,4,G ,6'5,205,25,4
Paolo Banchero,5,F,6'10,250,23,4
Jamal Cain,8,F,6'7,191,27,4
Nikola Vucevic,9,C,6'9,265,35,4
Jase Richardson,11,G,6'1,180,20,4
Franz Wagner,22,F,6'10,220,24,4
Tristan da Silva,23,F,6'8,217,25,4
Wendell Carter Jr.,34,C,6'10,270,27,4
Goga Bitadze ,35,C,6'11,250,27,4
Bilal Coulibaly,0,G,6'7,195,21,5
Tristan Vukcevic,0,F,7'0,220,23,5
Trae Young,3,G,6'2,164,27,5
AJ Dybansta,4,F,6'9,210,19,5
Jamir Watkins,5,F,6'6,210,25,5
Deandre Ayton,6,C,7'0,252,28,5
Bub Carrington,7,G,6'4,190,21,5
Justin Champagnie,9,F,6'6,206,25,5
Tre Johnson,12,G,6'5,190,20,5
Kyshawn George,18,F,6'8,200,22,5
Khris Middleton,20,F,6'7,222,34,5
Alex Sarr,21,C,7'0,205,21,5
Anthony Davis,23,C,6'10,253,33,5
Will Riley,27,F,6'9,180,20,5
